Year,Age,height,weight,G,PTS,3P,2P,FT,3P%,2P%,FT%,eFG%,PF,MP
1950.0,26.131410256410255,191.92628205128204,86.88461538461539,42.88461538461539,331.9294871794872,,116.78205128205128,98.36538461538461,,0.31810897435897434,0.6836850649350653,0.31810897435897434,114.99038461538461,
1951.0,26.344827586206897,193.22413793103448,88.06896551724138,43.89080459770115,375.5057471264368,,133.41954022988506,108.66666666666667,,0.3327413793103447,0.7010231213872832,0.3327413793103447,123.49425287356321,
1952.0,26.130769230769232,193.2923076923077,88.29230769230769,49.41538461538462,446.89230769230767,,157.8923076923077,131.1076923076923,,0.3444999999999999,0.6919769230769232,0.3444999999999999,144.52307692307693,1294.7923076923078
1953.0,26.0188679245283,192.45,88.0125,45.725,402.225,,138.6375,124.95,,0.33677499999999977,0.7018113207547171,0.33677499999999977,142.21875,1201.58125
1954.0,25.76923076923077,194.2290076335878,88.9618320610687,49.86259541984733,421.7709923664122,,148.77862595419847,124.21374045801527,,0.34349230769230765,0.678472440944882,0.34349230769230765,136.01526717557252,1278.4580152671756
1955.0,25.953703703703702,194.14678899082568,88.55963302752293,51.091743119266056,506.908256880734,,181.24770642201835,144.41284403669724,,0.34676146788990825,0.6991603773584905,0.34676146788990825,135.77064220183487,1322.1559633027523
1956.0,25.813725490196077,195.66037735849056,90.0,56.405660377358494,563.8490566037735,,201.95283018867926,159.9433962264151,,0.36713207547169807,0.728754716981132,0.36713207547169807,152.37735849056602,1400.198113207547
1957.0,26.0188679245283,195.6448598130841,90.37383177570094,54.18691588785047,557.5140186915888,,201.45794392523365,154.5981308411215,,0.35823364485981285,0.7206285714285718,0.35823364485981285,140.73831775700936,1358.2897196261683
1958.0,26.126126126126128,196.34234234234233,90.8018018018018,52.333333333333336,568.4054054054054,,208.16216216216216,152.0810810810811,,0.352108108108108,0.7118981481481481,0.352108108108108,138.07207207207207,1290.900900900901
1959.0,25.98181818181818,195.1818181818182,90.42727272727272,55.31818181818182,609.3727272727273,,227.44545454545454,154.48181818181817,,0.38981818181818195,0.7301401869158881,0.38981818181818195,146.1909090909091,1370.5272727272727
1960.0,26.05128205128205,196.1196581196581,91.1025641025641,53.26495726495727,627.5811965811965,,242.4188034188034,142.74358974358975,,0.38375213675213693,0.6917192982456137,0.38375213675213693,142.3846153846154,1324.7435897435898
1961.0,26.096153846153847,196.81730769230768,91.67307692307692,60.02884615384615,734.0961538461538,,282.125,169.84615384615384,,0.3864134615384615,0.6988349514563106,0.3864134615384615,168.35576923076923,1507.673076923077
1962.0,25.6,195.672,90.808,57.72,709.216,,274.704,159.808,,0.394296,0.6890983606557376,0.394296,156.256,1450.384
1963.0,25.909774436090224,196.98496240601503,91.78195488721805,55.721804511278194,655.1428571428571,,254.24812030075188,146.64661654135338,,0.4166015037593985,0.6773939393939388,0.4166015037593985,149.87218045112783,1386.4285714285713
1964.0,25.94814814814815,196.74074074074073,91.97777777777777,55.733333333333334,646.3111111111111,,249.42222222222222,147.46666666666667,,0.40960740740740736,0.6836870229007639,0.40960740740740736,156.15555555555557,1407.8444444444444
1965.0,25.696969696969695,197.4848484848485,93.5,55.78030303030303,642.4621212121212,,247.1969696969697,148.0681818181818,,0.40066666666666667,0.7067286821705427,0.40066666666666667,148.75757575757575,1391.3030303030303
1966.0,26.118518518518517,196.8074074074074,92.85925925925926,56.629629629629626,676.9111111111112,,260.0148148148148,156.88148148148147,,0.4099481481481482,0.6900381679389309,0.4099481481481482,153.94814814814814,1413.911111111111
1967.0,25.849624060150376,198.09774436090225,93.8796992481203,61.03007518796993,735.4586466165414,,284.7593984962406,165.93984962406014,,0.4195187969924811,0.7030526315789474,0.4195187969924811,165.62406015037595,1513.8872180451128
1968.0,26.0,197.3728813559322,93.36158192090396,58.36158192090395,698.2485875706215,,269.0282485875706,160.19209039548022,,0.41974011299435043,0.6928959537572256,0.41974011299435043,159.090395480226,1453.1242937853108
1969.0,26.097087378640776,198.4126213592233,94.31067961165049,57.922330097087375,692.7815533980582,,269.18932038834953,154.40291262135923,,0.41654854368932037,0.6754068627450981,0.41654854368932037,159.2621359223301,1495.8592233009708
1970.0,26.442786069651742,197.726368159204,92.8955223880597,59.14427860696517,712.7363184079602,,278.92537313432837,154.8855721393035,,0.4454825870646765,0.7348730964467007,0.4454825870646765,155.3582089552239,1488.9004975124378
1971.0,26.13061224489796,198.03673469387755,93.2326530612245,58.06938775510204,659.0081632653062,,258.14285714285717,142.72244897959183,,0.42211475409836097,0.7105458333333333,0.42211475409836097,145.39183673469387,1426.8530612244897
1972.0,26.22641509433962,197.9132075471698,92.75471698113208,55.864150943396226,634.5433962264151,,249.7811320754717,134.9811320754717,,0.4244431818181818,0.709393939393939,0.4244431818181818,138.55849056603773,1400.4905660377358
1973.0,26.312267657992564,198.4200743494424,93.34200743494424,55.82156133828996,604.6691449814126,,248.33085501858736,108.00743494423791,,0.424632958801498,0.7268996138996138,0.424632958801498,132.76951672862452,1369.9293680297399
1974.0,26.35918367346939,198.12244897959184,92.22857142857143,57.53469387755102,624.5877551020408,,254.60408163265305,115.37959183673469,,0.4394262295081967,0.7265882352941175,0.4394262295081967,142.0857142857143,1434.3877551020407
1975.0,26.5,198.30072463768116,92.02536231884058,57.23913043478261,588.8913043478261,,238.85507246376812,111.18115942028986,,0.4370400000000001,0.7345185185185188,0.4370400000000001,141.5072463768116,1393.7173913043478
1976.0,26.375912408759124,198.63138686131387,92.45985401459853,57.79197080291971,588.492700729927,,237.12408759124088,114.24452554744525,,0.43589051094890524,0.7261380597014923,0.43589051094890524,142.07299270072994,1373.6313868613138
1977.0,25.915966386554622,198.2408963585434,91.68347338935574,56.299719887955185,585.750700280112,,235.29131652661064,115.16806722689076,,0.4395196629213479,0.7309176136363635,0.4395196629213479,139.41456582633054,1327.5574229691877
1978.0,25.949197860962567,198.28877005347593,91.6283422459893,54.24331550802139,587.9973262032086,,235.81550802139037,116.3663101604278,,0.43956032171581766,0.7309889196675898,0.43956032171581766,137.86898395721926,1312.0828877005347
1979.0,25.822674418604652,198.70639534883722,91.67151162790698,57.252906976744185,628.078488372093,,253.61337209302326,120.85174418604652,,0.4607631578947367,0.737086826347305,0.4607631578947367,144.24709302325581,1373.860465116279
1980.0,26.204481792717086,198.9467787114846,92.19047619047619,55.42857142857143,612.4257703081232,4.372549019607843,240.20448179271708,118.89915966386555,0.19800000000000006,0.46273033707865147,0.7401327683615819,0.46137640449438133,137.29971988795518,1358.0168067226891
1981.0,25.840220385674932,198.91184573002755,91.68044077134986,55.44077134986226,592.9779614325068,2.8512396694214877,233.0055096418733,118.41322314049587,0.15306934306569348,0.45755096418732777,0.7224971264367811,0.4553636363636364,138.94214876033058,1334.3526170798898
1982.0,25.991957104557642,199.50134048257374,92.2520107238606,56.24932975871314,591.8739946380697,3.233243967828418,233.23324396782843,115.70777479892762,0.17110616438356166,0.4758927613941018,0.7106829268292684,0.47320911528150134,143.71849865951742,1315.7399463806971
1983.0,26.17391304347826,200.42455242966753,93.07416879795396,55.04347826086956,568.6393861892583,2.790281329923274,225.1611253196931,109.9462915601023,0.1380796178343949,0.46641687979539664,0.7098172323759797,0.4632915601023017,138.07416879795397,1275.5524296675192
1984.0,26.145772594752188,199.7259475218659,92.69970845481049,58.57142857142857,616.7142857142857,3.3206997084548107,240.2069970845481,126.33819241982508,0.17638996138996146,0.4767894736842107,0.7271531531531533,0.47397660818713455,144.87755102040816,1356.9446064139943
1985.0,26.179558011049725,199.88674033149172,92.9696132596685,55.425414364640886,588.9116022099447,4.6740331491712706,227.8977900552486,119.0939226519337,0.1630177935943061,0.46553867403314914,0.7378314285714286,0.4612872928176793,134.18508287292818,1288.232044198895
1986.0,26.41952506596306,200.6174142480211,93.46965699208444,54.24802110817942,568.5039577836411,4.9762532981530345,217.65699208443272,118.26121372031662,0.17325252525252535,0.46077777777777756,0.7223387533875342,0.45869047619047626,131.18469656992085,1256.2744063324537
1987.0,26.32804232804233,200.505291005291,93.79100529100529,54.03968253968254,570.4338624338625,7.283068783068783,214.010582010582,120.56349206349206,0.16903630363036304,0.46818037135278506,0.7354305177111715,0.462633952254642,128.97619047619048,1261.2883597883597
1988.0,26.570422535211268,200.42253521126761,93.71361502347418,51.014084507042256,528.7910798122066,8.05868544600939,197.92488262910797,108.76525821596245,0.18939882697947213,0.4652535545023692,0.7365917874396135,0.46297641509433973,119.64319248826291,1191.1596244131456
1989.0,26.74200913242009,200.14383561643837,93.84931506849315,52.93150684931507,550.3333333333334,10.680365296803654,203.18949771689498,111.91324200913242,0.19882336182336188,0.4588620689655174,0.7332375296912114,0.4564357798165135,120.61415525114155,1222.945205479452
1990.0,26.773420479302832,199.69934640522877,93.33551198257081,53.187363834422655,546.9934640522875,11.002178649237473,201.42701525054466,111.13289760348584,0.2138453333333334,0.4528442982456139,0.7244675615212527,0.451842105263158,120.53812636165577,1245.945533769063
1991.0,26.85260770975057,200.21315192743765,94.40589569160997,54.317460317460316,566.3083900226758,12.034013605442176,208.52154195011337,113.16326530612245,0.20838692098092643,0.47120227272727294,0.7365658198614323,0.4703568181818187,123.03628117913833,1282.2267573696145
1992.0,26.759825327510917,199.3471615720524,93.86244541484716,52.0174672489083,525.2751091703057,12.524017467248909,193.39082969432314,100.92139737991266,0.21450670241286865,0.4623178807947015,0.7284942528735631,0.4628278145695365,111.98908296943232,1215.1484716157206
1993.0,27.015590200445434,200.16703786191536,95.59020044543429,52.74832962138085,534.4476614699332,15.224944320712694,191.35412026726058,106.06458797327394,0.21568493150684934,0.46901339285714255,0.7228041474654374,0.46723608017817364,119.2316258351893,1233.3964365256124
1994.0,27.10810810810811,200.86278586278587,96.05821205821206,50.34095634095634,497.93762993762994,15.896049896049895,177.23076923076923,95.78794178794179,0.23576063829787228,0.45347280334728046,0.7006877729257642,0.45756276150627617,108.92723492723492,1182.3076923076924
1995.0,27.356194690265486,199.86283185840708,95.28761061946902,52.17256637168141,520.5066371681415,28.338495575221238,166.62610619469027,102.23893805309734,0.2711317829457362,0.46382850779510026,0.7204360730593596,0.46702439024390274,120.60398230088495,1241.1261061946902
1996.0,27.43302752293578,200.33211009174312,96.51743119266055,49.357798165137616,477.2954128440367,27.822018348623853,149.9816513761468,93.86605504587156,0.2784966292134831,0.46397966728281004,0.7103840304182512,0.4753105360443626,113.31009174311927,1170.0715596330276
1997.0,27.445993031358885,200.40592334494772,97.11498257839722,46.41289198606272,436.83449477351917,27.536585365853657,134.99128919860627,84.24216027874564,0.2839674620390457,0.44747635726795126,0.7083137614678896,0.4620507880910688,101.60975609756098,1101.918118466899
1998.0,27.47166361974406,199.78244972577696,96.44241316270566,49.09140767824497,457.6343692870201,21.40036563071298,150.49908592321756,92.43510054844607,0.24765995525727072,0.44664889705882327,0.7111504761904767,0.45504227941176456,107.89762340036563,1164.2486288848263
1999.0,27.481262327416175,200.07100591715977,97.16962524654832,31.40631163708087,276.9388560157791,13.55818540433925,89.7396449704142,56.78500986193294,0.25416666666666704,0.42744023904382433,0.7042563559322033,0.43709343936381695,67.64102564102564,731.723865877712
2000.0,27.620967741935484,200.26008064516128,97.3024193548387,51.340725806451616,484.679435483871,23.947580645161292,159.3084677419355,94.21975806451613,0.2646810126582279,0.44513793103448285,0.7288749999999993,0.45263157894736816,116.11088709677419,1200.5120967741937
2001.0,27.864059590316575,199.96275605214151,97.28677839851024,49.12662942271881,450.5661080074488,22.508379888268156,147.48975791433892,88.06145251396649,0.25975925925925925,0.43540037593984965,0.7153108910891094,0.44633834586466203,108.20856610800745,1161.0800744878957
2002.0,27.24,199.86,97.66,50.964,482.726,26.46,156.57,90.206,0.26379753086419744,0.4432560483870965,0.7198456790123458,0.45190543259557303,107.348,1221.54
2003.0,27.1407867494824,200.53416149068323,98.51138716356108,52.440993788819874,494.34989648033127,26.77639751552795,159.00207039337474,96.01656314699792,0.26540673575129536,0.4290788381742734,0.7277075268817198,0.4382302904564313,112.91511387163561,1259.111801242236
2004.0,27.242735042735042,200.87179487179486,98.85641025641026,46.95384615384615,428.4974358974359,23.570940170940172,137.48034188034188,82.82393162393163,0.2672725274725275,0.4286494845360826,0.7266936936936925,0.44163917525773216,99.67350427350428,1116.6615384615384
2005.0,27.206837606837606,200.34017094017094,98.58974358974359,47.998290598290595,452.4991452991453,26.74017094017094,140.82735042735044,90.62393162393163,0.2694444444444444,0.44303087478559144,0.724776785714286,0.457308747855918,106.55897435897435,1131.0102564102565
2006.0,26.657193605683837,200.3499111900533,98.70515097690941,48.53996447602132,458.21669626998226,27.2202486678508,142.03374777975134,92.48845470692717,0.27222398190045266,0.4536397849462369,0.7103780260707637,0.4634830053667261,108.15452930728242,1147.49378330373
2007.0,26.544573643410853,200.24612403100775,98.66472868217055,51.39728682170543,496.9166666666667,30.66860465116279,153.10852713178295,98.6937984496124,0.27415662650602407,0.45346771037181977,0.7242640000000002,0.4664795321637427,111.3875968992248,1220.9903100775193
2008.0,26.983193277310924,200.2453781512605,98.54789915966387,47.149579831932776,449.5126050420168,29.41848739495798,138.64033613445378,83.97647058823529,0.26864718162839246,0.4552128378378377,0.7148389380530966,0.46808431703204095,96.46722689075631,1100.1142857142856
2009.0,26.75257731958763,200.72508591065292,99.11340206185567,47.812714776632305,468.24570446735396,31.83676975945017,141.96907216494844,88.79725085910653,0.29255208333333343,0.4613916811091855,0.7294676258992807,0.47795501730103795,98.89518900343643,1137.7113402061855
2010.0,26.762975778546714,200.54671280276816,98.71107266435986,47.98961937716263,468.42560553633217,29.993079584775085,145.68512110726644,87.07612456747405,0.26855670103092766,0.4694537521815004,0.7126391382405748,0.47693739130434776,97.96539792387543,1136.1176470588234
2011.0,26.736,200.8544,99.8112,47.0096,449.9536,30.2432,137.6864,83.8512,0.2822373540856031,0.46153623188405773,0.7184496644295297,0.47555787781350495,94.88,1098.7936
2012.0,26.63339382940109,200.33756805807622,99.63339382940109,40.05989110707804,364.6225045372051,24.183303085299457,114.03085299455536,64.01088929219601,0.2712898230088496,0.4580762250453724,0.7170171102661601,0.46595462794918346,74.75499092558984,920.4410163339383
2013.0,26.535776614310645,200.13612565445027,99.11692844677138,49.21989528795812,448.4275741710297,33.16230366492147,136.65270506108203,75.63525305410123,0.282299163179916,0.4536520210896308,0.7109437386569875,0.46594200351493814,91.41884816753927,1112.9232111692845
2014.0,26.472995090016365,200.44189852700492,99.14075286415712,46.780687397708675,441.8723404255319,34.37643207855974,130.4975450081833,77.7479541734861,0.28973592233009704,0.4619136212624584,0.7176044905008631,0.4740894039735097,91.23895253682488,1066.8837970540098
2015.0,26.500768049155145,200.2073732718894,98.59754224270354,45.96006144393241,428.0675883256528,33.91705069124424,126.86175115207374,72.59293394777266,0.28645438596491246,0.46136939721792897,0.7228003194888177,0.47281664098613224,87.19969278033794,1041.7757296466973
2016.0,26.823529411764707,200.0968858131488,98.50173010380622,49.16262975778547,465.636678200692,38.970588235294116,134.39792387543253,79.92906574394463,0.2976475095785438,0.47797543859649105,0.7398772563176899,0.4908904347826083,92.67474048442907,1104.809688581315
2017.0,26.40672268907563,200.68403361344537,98.59663865546219,48.43361344537815,474.7327731092437,43.9327731092437,131.5327731092437,79.8689075630252,0.30114754098360647,0.48645254237288194,0.7376374781085808,0.49448060708263103,90.22689075630252,1090.6806722689075
